,question,Actual Abstract,Predicted Abstract,Answer
237,"When was Kajal Nishad, an Indian actress working in Bhojpuri cinema and Hindi Television and politician born?",Kajal Nishad (born 1 June 1982) is an Indian actress working in Bhojpuri cinema and Hindi Television and politician.,Kajal Nishad (born 1 June 1982) is an Indian actress working in Bhojpuri cinema and Hindi Television and politician.,1 June 1982
238,"Name an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka? ","Balaji Tangali Lalitha Naik (born 4 April 1945) is an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka.","Balaji Tangali Lalitha Naik (born 4 April 1945) is an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka.",Balaji Tangali Lalitha Naik
239,"What is Anant Nagarkatte, an Indian actor, known primarily for his work in Kannada cinema known as?","Anant Nagarkatte (born 4 September 1948) known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies.","Anant Nagarkatte (born 4 September 1948) known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies.",Anant Nag
240,"Name an Indian film actor, producer, politician and business executive from Telugu cinema?","Murali Mohan Maganti (born 24 June 1940) is an Indian film actor, producer, politician and business executive from Telugu cinema.","Murali Mohan Maganti (born 24 June 1940) is an Indian film actor, producer, politician and business executive from Telugu cinema.",Murali Mohan Maganti
241,When was Mahesh Vaman Manjrekar born?,"Mahesh Vaman Manjrekar (born 16 August 1958) is an Indian film director, actor, writer and producer.","Mahesh Vaman Manjrekar (born 16 August 1958) is an Indian film director, actor, writer and producer.",16 August 1958
242,"Name an Indian actor, comedian and politician, who mostly works in Odia language films?","Harihara Mahapatra is an Indian actor, comedian and politician, who mostly works in Odia language films known as Ollywood.","Harihara Mahapatra is an Indian actor, comedian and politician, who mostly works in Odia language films known as Ollywood.",Harihara Mahapatra
243,"Name an Indian stage and film actress, politician, and writer from Karnataka?","Chindodi Leela (1937 – 21 January 2010) was an Indian stage and film actress, politician, and writer from Karnataka.","Chindodi Leela (1937 – 21 January 2010) was an Indian stage and film actress, politician, and writer from Karnataka.",Chindodi Leela
244,"Who is Alokesh ""Bappi"" Lahiri?","Alokesh ""Bappi"" Lahiri (born 27 November 1952) is an Indian singer, composer, politician, disco musician and record producer.","Alokesh ""Bappi"" Lahiri (born 27 November 1952) is an Indian singer, composer, politician, disco musician and record producer.","an Indian singer, composer, politician, disco musician and record producer"
245,What is Ravindra Shyamnarayan Shukla popularly known as?,"Ravindra Shyamnarayan Shukla (born 17 July 1969), popularly known as Ravi Kishan, is an Indian actor, politician and television personality who is the current Member of Parliament in the Lok Sabha from Gorakhpur.","Ravindra Shyamnarayan Shukla (born 17 July 1969), popularly known as Ravi Kishan, is an Indian actor, politician and television personality who is the current Member of Parliament in the Lok Sabha from Gorakhpur.",Ravi Kishan
246,"Name a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films?","B. Jayashree (born 9 June 1950) is a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films.","B. Jayashree (born 9 June 1950) is a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films.",B. Jayashree
247,Name an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years?,Jayaram Jayalalithaa (24 February 1948 – 5 December 2016) was an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years between 1991 and 2016.,Jayaram Jayalalithaa (24 February 1948 – 5 December 2016) was an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years between 1991 and 2016.,Jayaram Jayalalithaa
248,What was Janaki Ramachandran commonly known as?,"Janaki Ramachandran (30 November 1923 – 19 May 1996, née Vaikom Narayani Janaki), commonly known as V. N. Janaki, was an Indian politician and activist  of  Tamil Nadu.","Janaki Ramachandran (30 November 1923 – 19 May 1996, née Vaikom Narayani Janaki), commonly known as V. N. Janaki, was an Indian politician and activist  of  Tamil Nadu.",V. N. Janaki
249,"Name an Indian actress, director and politician who appeared mainly in Telugu films?","Jamuna (born 30 August 1936) is an Indian actress, director and politician who appeared mainly in Telugu films.","Jamuna (born 30 August 1936) is an Indian actress, director and politician who appeared mainly in Telugu films.",Jamuna
250,When was Nusrat Jahan Ruhi Jain born?,Nusrat Jahan Ruhi Jain (born 8 January 1990) is an Indian film actress who predominantly works in Bengali cinema.,Nusrat Jahan Ruhi Jain (born 8 January 1990) is an Indian film actress who predominantly works in Bengali cinema.,8 January 1990
251,"What was P. V. Jagadish Kumar, an Indian film actor and screenwriter popularly known as?","P. V. Jagadish Kumar (born 12 June 1955), popularly known as Jagadish, is an Indian film actor and screenwriter.","P. V. Jagadish Kumar (born 12 June 1955), popularly known as Jagadish, is an Indian film actor and screenwriter.",Jagadish
252,Name an Indian activist in the Indian National Congress  during the Indian independence movement?,F. G. Natesa Iyer (11 November 1880 – 23 January 1963) was an Indian activist in the Indian National Congress  during the Indian independence movement.,F. G. Natesa Iyer (11 November 1880 – 23 January 1963) was an Indian activist in the Indian National Congress  during the Indian independence movement.,F. G. Natesa Iyer
253,Who is Nandamuri Harikrishna?,"Nandamuri Harikrishna (2 September 1953 – 29 August 2018) was an Indian film actor, producer and politician who was the Member of Parliament in the Rajya Sabha from Andhra Pradesh.","Harikrishna was the father of actors N. T. Rama Rao Jr., and Nandamuri Kalyan Ram.Harikrishna made his acting debut in 1964 as a child artist in Sri Krishnavataram, in which he played Krishna.","father of actors N. T. Rama Rao Jr., and Nandamuri Kalyan Ram"
254,"What is Govinda Ahuja,  an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films known mononymously as?","Govind Ahuja (born 21 December 1963), known mononymously as Govinda,  is an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films.","Govind Ahuja (born 21 December 1963), known mononymously as Govinda,  is an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films.",Govinda
255,Who is Keezhoote Balakrishna Pillai Ganesh Kumar?,"Keezhoote Balakrishna Pillai Ganesh Kumar (born 25 May 1966) is an Indian actor, television host, and politician.","Keezhoote Balakrishna Pillai Ganesh Kumar (born 25 May 1966) is an Indian actor, television host, and politician.","an Indian actor, television host, and politician"
256,"What is Ajay Singh Deol, an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur better known as?","Ajay Singh Deol (born 19 October 1956), better known as Sunny Deol, is an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur (Lok Sabha constituency) of Punjab State.","Ajay Singh Deol (born 19 October 1956), better known as Sunny Deol, is an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur (Lok Sabha constituency) of Punjab State.",Sunny Deol
257,"Name an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency?","Harindranath Chattopadhyay (2 April 1898 – 23 June 1990) was an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency.","Harindranath Chattopadhyay (2 April 1898 – 23 June 1990) was an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency.",Harindranath Chattopadhyay
258,"Name an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha?","Nitish Bharadwaj (born 2 June 1963) is an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha.","Nitish Bharadwaj (born 2 June 1963) is an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha.",Nitish Bharadwaj
259,"Name an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian?","Vyjayanthimala (born 13 August 1936)  is an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian.","Vyjayanthimala (born 13 August 1936)  is an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian.",Vyjayanthimala
260,Name a Hindi and Punjabi film actor and politician belonging to Indian National Congress?,Raj Babbar (born 23 June 1952) is a Hindi and Punjabi film actor and politician belonging to Indian National Congress.,Raj Babbar (born 23 June 1952) is a Hindi and Punjabi film actor and politician belonging to Indian National Congress.,Raj Babbar
261,Name an Indian actress and a Politician from Indian National Congress and a social activist?,Nafisa Ali  (born 18 January 1957) is an Indian actress and a Politician from Indian National Congress and a social activist.,Nafisa Ali  (born 18 January 1957) is an Indian actress and a Politician from Indian National Congress and a social activist.,Nafisa Ali
262,Name an Israeli politician and former journalist serving as chairman of the Yesh Atid party?,Yair Lapid (Hebrew: יאיר לפיד‎; born 5 November 1963) is an Israeli politician and former journalist serving as chairman of the Yesh Atid party.,Yair Lapid (Hebrew: יאיר לפיד‎; born 5 November 1963) is an Israeli politician and former journalist serving as chairman of the Yesh Atid party.,Yair Lapid
263,When was Asaduzzaman Noor born?,"Asaduzzaman Noor (born 31 October 1946) is a Bangladeshi actor, politician and activist.","Asaduzzaman Noor (born 31 October 1946) is a Bangladeshi actor, politician and activist.",31 October 1946
264,"Name an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye?","William George Rushton (18 August 1937 – 11 December 1996) was an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye.","William George Rushton (18 August 1937 – 11 December 1996) was an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye.",William George Rushton
265,"Name a British television personality, television chef, actress, singer and former politician?","Rustie Lee is a British television personality, television chef, actress, singer and former politician.","Rustie Lee is a British television personality, television chef, actress, singer and former politician.",Rustie Lee
266,"When did Alfred Arthur Hinchcliffe Denville,an English actor, theatre impresario and Conservative Party politician die?","Alfred Arthur Hinchcliffe Denville (27 January 1876 – 23 March 1955) was an English actor, theatre impresario and Conservative Party politician.","Alfred Arthur Hinchcliffe Denville (27 January 1876 – 23 March 1955) was an English actor, theatre impresario and Conservative Party politician.",23 March 1955
267,"When was Bruce Belfrage, an English actor and BBC radio newsreader born?",Bruce Belfrage (30 October 1900 – August 1974) was an English actor and BBC radio newsreader.,Bruce Belfrage (30 October 1900 – August 1974) was an English actor and BBC radio newsreader.,30 October 1900
268,"Name an English Liberal Democrat local politician, journalist, children's book author and former model and actress?","Marina Augusta Pepper (née Baker; born 8 December 1967)  is an English Liberal Democrat local politician, journalist, children's book author and former model and actress.","Marina Augusta Pepper (née Baker; born 8 December 1967)  is an English Liberal Democrat local politician, journalist, children's book author and former model and actress.",Marina Augusta Pepper
269,"Name a Russian politician, TV anchor, journalist, socialite and actress?","Ksenia Anatolyevna Sobchak  (born 5 November 1981) is a Russian politician, TV anchor, journalist, socialite and actress.","Ksenia Anatolyevna Sobchak  (born 5 November 1981) is a Russian politician, TV anchor, journalist, socialite and actress.",Ksenia Anatolyevna Sobchak
270,Who is Nikolai Nikolaevich Gubenko?,"Nikolai Nikolaevich Gubenko (Russian: Николай Николаевич Губенко) (born 17 August 1941) is a Soviet and Russian actor, film and theatre director, screenwriter, founder of the Community of Taganka Actors theatre.","Nikolai Nikolaevich Gubenko (Russian: Николай Николаевич Губенко) (born 17 August 1941) is a Soviet and Russian actor, film and theatre director, screenwriter, founder of the Community of Taganka Actors theatre.",a Soviet and Russian actor
271,Who is Stanislav Sergeyevich Govorukhin?,"Stanislav Sergeyevich Govorukhin (Russian: Станислав Сергеевич Говорухин; 29 March 1936 – 14 June 2018) was a Soviet and Russian film director, actor, screenwriter, producer and politician.","Stanislav Sergeyevich Govorukhin (Russian: Станислав Сергеевич Говорухин; 29 March 1936 – 14 June 2018) was a Soviet and Russian film director, actor, screenwriter, producer and politician.","a Soviet and Russian film director, actor, screenwriter, producer and politician"
272,Who is Rolan Antonovich Bykov?,"Rolan Antonovich Bykov (Russian: Ролан Антонович Быков; October 12, 1929 – October 6, 1998) was a Soviet and Russian actor, theatre and film director, screenwriter, educator at High Courses for Scriptwriters and Film Directors, poet and song writer, as well as a politician and a banker.","Nine months later, he was named the 2009 Nobel Peace Prize laureate.",Nobel Peace Prize laureate
273,Who is Vladimir Vladimirovich Bortko PAR?,"Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician.","Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician.","a Russian film director, screenwriter, producer and politician"
274,Name a Mexican actress and politician associated with the Institutional Revolutionary Party?,"Carmen Salinas Lozano (born October 5, 1939) is a Mexican actress and politician associated with the Institutional Revolutionary Party (PRI).","Carmen Salinas Lozano (born October 5, 1939) is a Mexican actress and politician associated with the Institutional Revolutionary Party (PRI).",Carmen Salinas Lozano
275,"Name  a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator?","Jean Lapointe,  (born December 6, 1935) is a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator.","Jean Lapointe,  (born December 6, 1935) is a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator.",Jean Lapointe
276,Name an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.?,"Elizabeth Rose Ball (born October 20, 1995) is an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.","Elizabeth Rose Ball (born October 20, 1995) is an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.",Elizabeth Rose Ball
277,"Name an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981)?","Ralph Waite (June 22, 1928 – February 13, 2014) was an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981), which he occasionally directed.","Ralph Waite (June 22, 1928 – February 13, 2014) was an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981), which he occasionally directed.",Ralph Waite
278,"Name an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer?","Gerald Norman Springer (born February 13, 1944) is an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer.","Gerald Norman Springer (born February 13, 1944) is an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer.",Gerald Norman Springer
279,"Name an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma?","William Penn Adair Rogers (November 4, 1879 – August 15, 1935) was an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma.","William Penn Adair Rogers (November 4, 1879 – August 15, 1935) was an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma.",William Penn Adair Rogers
280,"Name an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent?","Park Overall (born March 15, 1957) is an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent.","Park Overall (born March 15, 1957) is an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent.",Park Overall
281,When was Cynthia Ellen Nixon born?,"Cynthia Ellen Nixon (born April 9, 1966) is an American actress and activist.","Cynthia Ellen Nixon (born April 9, 1966) is an American actress and activist.","April 9, 1966"
282,When did George Lloyd Murphy die?,"George Lloyd Murphy (July 4, 1902 – May 3, 1992) was an American dancer, actor, and politician.","George Lloyd Murphy (July 4, 1902 – May 3, 1992) was an American dancer, actor, and politician.","May 3, 1992"
283,"Who is William M. ""Sonny"" Landham?","William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man.","Among his siblings are educator Susie, businessman Edwin, botanist William, and Kit Ganong Whidden.",botanist
284,"Name an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District?","Sheila James Kuehl (born February 9, 1941) is an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District.","Sheila James Kuehl (born February 9, 1941) is an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District.",Sheila James Kuehl
285,"Name an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard?","Ben Lewis Jones (born August 30, 1941) is an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard.","Ben Lewis Jones (born August 30, 1941) is an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard.",Ben Lewis Jones
286,"Name an American film actor of the 1920s silent era and into the 1930s, and later a television actor?","Charles Farrell (August 9, 1900 – May 6, 1990) was an American film actor of the 1920s silent era and into the 1930s, and later a television actor.","Charles Farrell (August 9, 1900 – May 6, 1990) was an American film actor of the 1920s silent era and into the 1930s, and later a television actor.",Charles Farrell
287,Who is Carlos Alan Autry Jr.?,"Carlos Alan Autry Jr. (also known for a period of time as Carlos Brown; born July 31, 1952), is an American actor, politician, and former National Football League  player.","Carlos Alan Autry Jr. (also known for a period of time as Carlos Brown; born July 31, 1952), is an American actor, politician, and former National Football League  player.","an American actor, politician, and former National Football League player."
288,"Name an American singer, television personality, actor, political candidate, and activist?","Clayton Holmes ""Clay"" Aiken (born Clayton Holmes Grissom; November 30, 1978) is an American singer, television personality, actor, political candidate, and activist.","Clayton Holmes ""Clay"" Aiken (born Clayton Holmes Grissom; November 30, 1978) is an American singer, television personality, actor, political candidate, and activist.","Clayton Holmes ""Clay"" Aiken"
289,Name an American politician who served as the 47th vice president of the United States from 2009 to 2017?,"Joseph Robinette Biden Jr. (; born November 20, 1942) is an American politician who served as the 47th vice president of the United States from 2009 to 2017 and represented Delaware in the U.S. Senate from 1973 to 2009.","Joseph Robinette Biden Jr. (; born November 20, 1942) is an American politician who served as the 47th vice president of the United States from 2009 to 2017 and represented Delaware in the U.S. Senate from 1973 to 2009.",Joseph Robinette Biden Jr.
290,Who is Cecilia Roxana Tait Villacorta?,"Cecilia Roxana Tait Villacorta (born May 2, 1962) is a Peruvian politician and retired volleyball player.","Obama was born in Honolulu, Hawaii.",Obama
291,Name a Peruvian former volleyball player and politician (PNP)?,"Cenaida Cebastiana Uribe Medina (born December 2, 1965 in Lima) is a Peruvian former volleyball player and politician (PNP).","Cenaida Cebastiana Uribe Medina (born December 2, 1965 in Lima) is a Peruvian former volleyball player and politician (PNP).",Cenaida Cebastiana Uribe Medina
292,What is Arthur Antunes Coimbra better known as?,"Arthur Antunes Coimbra (Portuguese pronunciation: [aʁˈtuʁ  ɐ̃ˈtũnis koˈĩbɾɐ], born 3 March 1953 in Rio de Janeiro), better known as Zico ([ˈziku]), is a Brazilian coach and former footballer, who played as an attacking midfielder.","Arthur Antunes Coimbra (Portuguese pronunciation: [aʁˈtuʁ  ɐ̃ˈtũnis koˈĩbɾɐ], born 3 March 1953 in Rio de Janeiro), better known as Zico ([ˈziku]), is a Brazilian coach and former footballer, who played as an attacking midfielder.",Zico
293,"Name an Olympic breaststroke swimmer from Brazil, who participated at one Summer Olympics?","Harry Forssell (October 1907 - September 15, 2006) was an Olympic breaststroke swimmer from Brazil, who participated at one Summer Olympics.","Harry Forssell (October 1907 - September 15, 2006) was an Olympic breaststroke swimmer from Brazil, who participated at one Summer Olympics.",Harry Forssell
294,Name a Brazilian politician and a former female volleyball player?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.","Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.",Leila Gomes de Barros
295,Who is Ulises Hernán de la Cruz Bernardo? ,"Ulises Hernán de la Cruz Bernardo (born 8 February 1974 in Piquiucho) is a retired Ecuadorian footballer, who since 2013 has been a member of his country's National Assembly for the governing PAIS Alliance.","Ulises Hernán de la Cruz Bernardo (born 8 February 1974 in Piquiucho) is a retired Ecuadorian footballer, who since 2013 has been a member of his country's National Assembly for the governing PAIS Alliance.",a retired Ecuadorian footballer
296,Who is Cenaida Cebastiana Uribe Medina?,"Cenaida Cebastiana Uribe Medina (born December 2, 1965 in Lima) is a Peruvian former volleyball player and politician (PNP).","A member of the Democratic Party, he was the first African-American president of the United States.",he was the first African-American president of the United States
297,Name a Mexican politician and former sprinter who competed in the 1924 Summer Olympics? ,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.,Herminio Ahumada
298,Name an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956?,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.,Reginald 'Rex' Colin Townley
299,When was Liesl Dorothy Tesch AM born?,"Liesl Dorothy Tesch AM (born 17 May 1969) is an Australian wheelchair basketball player, sailor and politician.","Liesl Dorothy Tesch AM (born 17 May 1969) is an Australian wheelchair basketball player, sailor and politician.",17 May 1969
300,Who is Joseph Karl Szakacs?,Joseph Karl Szakacs (; born 1982) is an Australian politician and trade unionist.,Joseph Karl Szakacs (; born 1982) is an Australian politician and trade unionist.,an Australian politician and trade unionist
301,"Name an Australian politician, lawyer and former Olympic athlete?","Zali Steggall  (born 16 April 1974) is an Australian politician, lawyer and former Olympic athlete.","Zali Steggall  (born 16 April 1974) is an Australian politician, lawyer and former Olympic athlete.",Zali Steggall
302,"When was Trevor Raymond Sprigg, an Australian politician and legislator from Western Australia born?","Trevor Raymond Sprigg (10 August 1946 – 17 January 2008) was an Australian politician and legislator from Western Australia, as well as a former football star.","Trevor Raymond Sprigg (10 August 1946 – 17 January 2008) was an Australian politician and legislator from Western Australia, as well as a former football star.",10 August 1946
303,"Name an Australian politician, representing the National Party in the Senate for the state of Queensland?","Glenister Fermoy Sheil  (21 October 1929 – 29 September 2008) was an Australian politician, representing the National Party in the Senate for the state of Queensland from 1974 to 1981, and again from 1984–90.","Glenister Fermoy Sheil  (21 October 1929 – 29 September 2008) was an Australian politician, representing the National Party in the Senate for the state of Queensland from 1974 to 1981, and again from 1984–90.",Glenister Fermoy Sheil
304,"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.",Maurice Patrick Sheehy
305,"When was Zali Steggall, an Australian politician, lawyer and former Olympic athlete born?","Zali Steggall  (born 16 April 1974) is an Australian politician, lawyer and former Olympic athlete.","Zali Steggall  (born 16 April 1974) is an Australian politician, lawyer and former Olympic athlete.",16 April 1974
306,"Who is Francis Eugene ""Frank"" Stewart?","Francis Eugene ""Frank"" Stewart (20 February 1923 – 16 April 1979), Australian  politician and rugby league footballer, was a member of the Australian House of Representatives representing Lang between 1953 and 1977 and subsequently Grayndler between 1977 and 1979 for the Australian Labor Party.","Francis Eugene ""Frank"" Stewart (20 February 1923 – 16 April 1979), Australian  politician and rugby league footballer, was a member of the Australian House of Representatives representing Lang between 1953 and 1977 and subsequently Grayndler between 1977 and 1979 for the Australian Labor Party.",Australian politician and rugby league footballer
307,"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.",Maurice Patrick Sheehy
308,"Name a businessman, solicitor and Lord Mayor of Adelaide, South Australia?","Sir Arthur Campbell Rymill (8 December 1907 – 27 March 1989) was a businessman, solicitor and Lord Mayor of Adelaide, South Australia.","Sir Arthur Campbell Rymill (8 December 1907 – 27 March 1989) was a businessman, solicitor and Lord Mayor of Adelaide, South Australia.",Sir Arthur Campbell Rymill
309,"Name an Irish actor, known for his television roles in the TV series Copper and Crossbones?","Kevin John Ryan (born 20 June 1984) is an Irish actor, known for his television roles in the TV series Copper and Crossbones.","Kevin John Ryan (born 20 June 1984) is an Irish actor, known for his television roles in the TV series Copper and Crossbones.",Kevin John Ryan
310,Name a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club?,"Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809).","Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809).",Frederick Armand Powlett
311,"When was Arthur Bruce Pie, an Australian politician who served in the Legislative Assembly of Queensland born?",Arthur Bruce Pie (18 May 1902 – 30 July 1962) was an Australian politician who served in the Legislative Assembly of Queensland.,Arthur Bruce Pie (18 May 1902 – 30 July 1962) was an Australian politician who served in the Legislative Assembly of Queensland.,18 May 1902
312,When was Nova Maree Peris born?,Nova Maree Peris  (born 25 February 1971) is an indigenous Australian athlete and former politician.,Nova Maree Peris  (born 25 February 1971) is an indigenous Australian athlete and former politician.,25 February 1971
313,Who is Stephen John Rayden Patterson?,"Stephen John Rayden Patterson (born 4 January 1971) is an Australian politician, and a former Australian rules footballer who played with Collingwood in the Australian Football League (AFL).","Stephen John Rayden Patterson (born 4 January 1971) is an Australian politician, and a former Australian rules footballer who played with Collingwood in the Australian Football League (AFL).",an Australian politician
314,"Name an Australian former professional rugby league footballer, administrator and politician?","Paul Anthony Osborne (born 30 September 1966) is an Australian former professional rugby league footballer, administrator and politician.","Paul Anthony Osborne (born 30 September 1966) is an Australian former professional rugby league footballer, administrator and politician.",Paul Anthony Osborne
315,Who is Raymond James O'Connor?,Raymond James O'Connor (6 March 1926 – 25 February 2013) was an Australian politician.,Raymond James O'Connor (6 March 1926 – 25 February 2013) was an Australian politician.,an Australian politician
316,Name a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club?,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,Christopher William Natt
317,When was Dean Cambell Nalder MLA born?,"Dean Cambell Nalder MLA (born 5 February 1966) is an Australian politician who has been a member of the Legislative Assembly of Western Australia since 2013, representing the seat of Alfred Cove until 2017 and Bateman following the 2017 electoral boundary re-distribution.","Dean Cambell Nalder MLA (born 5 February 1966) is an Australian politician who has been a member of the Legislative Assembly of Western Australia since 2013, representing the seat of Alfred Cove until 2017 and Bateman following the 2017 electoral boundary re-distribution.",5 February 1966
318,"Name a British writer, raconteur and broadcaster, born in Barnes, London in the UK?","Arthur Marshall, MBE (10 May 1910 – 27 January 1989) was a British writer, raconteur and broadcaster, born in Barnes, London in the UK.","Arthur Marshall, MBE (10 May 1910 – 27 January 1989) was a British writer, raconteur and broadcaster, born in Barnes, London in the UK.",Arthur Marshall
319,Name an Australian politician and former Australian rules footballer?,Justin Mark Madden  (born 31 May 1961) is an Australian politician and former Australian rules footballer.,Justin Mark Madden  (born 31 May 1961) is an Australian politician and former Australian rules footballer.,Justin Mark Madden
