,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
306,"Who is Francis Eugene ""Frank"" Stewart?","Francis Eugene ""Frank"" Stewart (20 February 1923 – 16 April 1979), Australian  politician and rugby league footballer, was a member of the Australian House of Representatives representing Lang between 1953 and 1977 and subsequently Grayndler between 1977 and 1979 for the Australian Labor Party.","[[-0.02042911  0.04943122  0.00363692 ...  0.05393005 -0.00406445
   0.03081437]]","Charles Smith (""C.S."")",Answer not found!
307,"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.","[[-0.02874381  0.18772332  0.19278929 ...  0.02092342  0.0687079
   0.1041298 ]]","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.",Maurice Patrick Sheehy 
308,"Name a businessman, solicitor and Lord Mayor of Adelaide, South Australia?","Sir Arthur Campbell Rymill (8 December 1907 – 27 March 1989) was a businessman, solicitor and Lord Mayor of Adelaide, South Australia.",[[0.01666664 0.11145647 0.19577181 ... 0.0259189  0.04170071 0.10835031]],"Sir Arthur Campbell Rymill (8 December 1907 – 27 March 1989) was a businessman, solicitor and Lord Mayor of Adelaide, South Australia.",Sir Arthur Campbell Rymill 
309,"Name an Irish actor, known for his television roles in the TV series Copper and Crossbones?","Kevin John Ryan (born 20 June 1984) is an Irish actor, known for his television roles in the TV series Copper and Crossbones.","[[-0.02874381  0.09791326  0.24197683 ...  0.13224709  0.09044565
   0.09597617]]","Kevin John Ryan (born 20 June 1984) is an Irish actor, known for his television roles in the TV series Copper and Crossbones.",Kevin John Ryan 
310,Name a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club?,"Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809).","[[ 0.01666664  0.14169325  0.15927067 ... -0.00729196  0.03884016
   0.08881259]]","Daniel Cornelius van Holst Pellekaan is an Australian politician, representing the South Australian House of Assembly seat of Stuart for the South Australian Division of the Liberal Party of Australia since the 2010 state election.",Answer not found!
311,"When was Arthur Bruce Pie, an Australian politician who served in the Legislative Assembly of Queensland born?",Arthur Bruce Pie (18 May 1902 – 30 July 1962) was an Australian politician who served in the Legislative Assembly of Queensland.,"[[-0.01890067  0.04943122  0.16489394 ...  0.03004672  0.05494215
   0.08493027]]",Arthur Bruce Pie (18 May 1902 – 30 July 1962) was an Australian politician who served in the Legislative Assembly of Queensland.,May 1902 –
312,When was Nova Maree Peris born?,Nova Maree Peris  (born 25 February 1971) is an indigenous Australian athlete and former politician.,"[[ 0.04101477  0.10958822 -0.03586279 ... -0.01001661  0.05410628
   0.04076868]]",Nova Maree Peris  (born 25 February 1971) is an indigenous Australian athlete and former politician.,25 February 1971
313,Who is Stephen John Rayden Patterson?,"Stephen John Rayden Patterson (born 4 January 1971) is an Australian politician, and a former Australian rules footballer who played with Collingwood in the Australian Football League (AFL).","[[-0.02042911  0.04943122  0.0565737  ... -0.01258784  0.02808048
   0.01742054]]","Howard William Meeker, C.M.",Answer not found!
314,"Name an Australian former professional rugby league footballer, administrator and politician?","Paul Anthony Osborne (born 30 September 1966) is an Australian former professional rugby league footballer, administrator and politician.","[[-0.00051785  0.10499376  0.11187758 ... -0.01258784  0.01370076
   0.08771575]]","Paul Anthony Osborne (born 30 September 1966) is an Australian former professional rugby league footballer, administrator and politician.",Paul Anthony Osborne 
315,Who is Raymond James O'Connor?,Raymond James O'Connor (6 March 1926 – 25 February 2013) was an Australian politician.,"[[-0.02042911  0.04943122  0.04338682 ... -0.01105738  0.02090892
   0.03198497]]",Hon.,Answer not found!
316,Name a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club?,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,[[0.01666664 0.11606012 0.20418474 ... 0.02540434 0.04427189 0.09543497]],Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,Christopher William Natt 
317,When was Dean Cambell Nalder MLA born?,"Dean Cambell Nalder MLA (born 5 February 1966) is an Australian politician who has been a member of the Legislative Assembly of Western Australia since 2013, representing the seat of Alfred Cove until 2017 and Bateman following the 2017 electoral boundary re-distribution.","[[-0.01890067  0.12375478  0.12079124 ...  0.02356832  0.02627224
   0.07217801]]",Clive Doucet (born 1946) is a Canadian writer and politician.,Answer not found!
318,"Name a British writer, raconteur and broadcaster, born in Barnes, London in the UK?","Arthur Marshall, MBE (10 May 1910 – 27 January 1989) was a British writer, raconteur and broadcaster, born in Barnes, London in the UK.","[[ 0.01666664  0.09286473  0.11440455 ... -0.00995653  0.05859363
   0.10946669]]","Arthur Marshall, MBE (10 May 1910 – 27 January 1989) was a British writer, raconteur and broadcaster, born in Barnes, London in the UK.",Arthur Marshall
319,Name an Australian politician and former Australian rules footballer?,Justin Mark Madden  (born 31 May 1961) is an Australian politician and former Australian rules footballer.,"[[-0.02874381  0.09252515  0.13087368 ...  0.00192824  0.00205732
   0.07714737]]",Justin Mark Madden  (born 31 May 1961) is an Australian politician and former Australian rules footballer.,Justin Mark Madden  
320,"When did Brendan Aloysius Lyons, an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986 die? ","Brendan Aloysius Lyons (17 June 1927 – 7 September 2010) was an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986, representing the Liberal Party.",[[0.0038718  0.15897873 0.10414107 ... 0.10701171 0.07466981 0.08529218]],"Brendan Aloysius Lyons (17 June 1927 – 7 September 2010) was an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986, representing the Liberal Party.",7 September 2010
321,"When was Samuel John Everett Loxton, an Australian cricketer, footballer and politician born?","Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.","[[-0.01890067  0.04943122  0.15395838 ...  0.00532773  0.02754556
   0.06534881]]","Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.",March 1921 –
322,Name an Australian politician who served as the Liberal member for Lalor from 1966 to 1969?,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,"[[-0.02558927  0.1307657   0.11187758 ... -0.00871251  0.05498117
   0.11450905]]",Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,Mervyn William Lee 
323,"Name an Australian former professional rugby league footballer, and a former Australian Senator?","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.","[[-0.00051785  0.10499376  0.20392327 ...  0.00614213 -0.02163683
   0.10324003]]","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.",Glenn Patrick Lazarus 
324,"Name an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia?","Sir John Greig Latham GCMG QC (26 August 1877 – 25 July 1964) was an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia, in office from 1935 to 1952.","[[-0.00021619  0.04943122  0.13644183 ...  0.02813399  0.04872166
   0.10189408]]","Sir John Greig Latham GCMG QC (26 August 1877 – 25 July 1964) was an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia, in office from 1935 to 1952.",Sir John Greig Latham GCMG QC 
325,"Who is Gilbert Roche Andrews ""Gil"" Langley?","Gilbert Roche Andrews ""Gil"" Langley  (14 September 1919 – 14 May 2001) was an Australian Test cricketer, champion Australian rules footballer and member of parliament, serving as Speaker of the South Australian House of Assembly from 1977 to 1979 for the Don Dunstan Labor government.","[[-0.01689873  0.13412017  0.08552254 ...  0.01449542  0.02236491
   0.04863254]]","Charles Smith (""C.S."")",Answer not found!
326,When did Roy Mitchell Kinnear die?,Roy Mitchell Kinnear (8 January 1934 – 20 September 1988) was a British character actor.,"[[-0.00581962  0.04943122  0.05828137 ...  0.01128052 -0.06184968
   0.04809641]]","M. Roy Wilson M.D., M.S.",Answer not found!
327,Name an Australian politician who served as a Senator for Western Australia from 1923 to 1935?,Sir Walter Kingsmill (10 April 1864 – 15 January 1935) was an Australian politician who served as a Senator for Western Australia from 1923 to 1935.,"[[-0.02874381  0.0590697   0.16484985 ... -0.00524386 -0.01790547
   0.09536744]]",Sir Walter Kingsmill (10 April 1864 – 15 January 1935) was an Australian politician who served as a Senator for Western Australia from 1923 to 1935.,Sir Walter Kingsmill 
328,"Who was Sir Wilfrid Selwyn ""Bill"" Kent Hughes?","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.",[[0.00658448 0.13379323 0.09793637 ... 0.07180429 0.07110455 0.03692703]],"Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government."
329,"What was William Frederick Percy Hutton, an Australian cricketer who played a single first-class match for South Australia known as?","William Frederick Percy Hutton (2 October 1876 – 1 October 1951), known as Percy Hutton, was an Australian cricketer who played a single first-class match for South Australia during the 1905–06 Sheffield Shield season.","[[-0.01890067  0.09289348  0.17135254 ...  0.04767421  0.08501182
   0.06866536]]","William Frederick Percy Hutton (2 October 1876 – 1 October 1951), known as Percy Hutton, was an Australian cricketer who played a single first-class match for South Australia during the 1905–06 Sheffield Shield season.",Percy Hutton
330,"Name an Australian politician, psychologist and vegan bodybuilder?","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.","[[-0.02874381  0.04943122  0.13869739 ... -0.01258786 -0.00970225
   0.0463061 ]]","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.",Emma Christine Hurst 
331,Name a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland?,"Michael James Horan, AM (born 1 July 1944) is a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland from 18 May 1991 to 24 March 2012.",[[0.01666664 0.11606012 0.24440308 ... 0.02497107 0.08341122 0.09653678]],"Michael James Horan, AM (born 1 July 1944) is a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland from 18 May 1991 to 24 March 2012.",Michael James Horan
332,"Name the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party?","Lionel Laughton Hill (14 May 1881 – 19 March 1963) was the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party.","[[-0.01424452  0.04943122  0.17467105 ...  0.0837904   0.05855309
   0.09976698]]","Lionel Laughton Hill (14 May 1881 – 19 March 1963) was the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party.",Lionel Laughton Hill 
333,Name an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947?,James Hegney (27 September 1891 – 5 May 1970) was an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947 and again from 1950 to 1968.,"[[-0.0175795   0.10265703  0.16241364 ...  0.01182897  0.06696139
   0.11003058]]",James Hegney (27 September 1891 – 5 May 1970) was an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947 and again from 1950 to 1968.,James Hegney 
334,"When was John Merrifield Hearman CMG, an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia born?","John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood.",[[0.00403268 0.09587454 0.15701021 ... 0.01388628 0.06615437 0.12191596]],"John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood.",November 1910 –
335,Name an Australian rules footballer who played for Melbourne in the Victorian Football League?,"Stan ""Pops"" Heal (30 July 1920 – 15 December 2010) was an Australian rules footballer who played for Melbourne in the Victorian Football League (VFL) as well as West Perth in the West Australian National Football League (WANFL) during the 1940s and early 1950s.","[[-0.01431891  0.17254497  0.15916131 ...  0.01023214  0.03071813
   0.05262344]]",Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,Answer not found!
336,Name an Australian rules footballer who played for Essendon in the Victorian Football League (VFL)?,Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,"[[-0.01431891  0.17313619  0.16803016 ...  0.01861575  0.02489392
   0.05297244]]",Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,Kevin Philip Hardiman 
337,"Who is Herbert Harry ""Jim"" Handby OBE?","Herbert Harry ""Jim"" Handby OBE (1 September 1903 – 2 October 1991) was an Australian rules footballer who played in the South Australian National Football League (SANFL) in the 1920s and 1930s, achieving several honours in recognition of his playing skills.","[[-0.02042911  0.04943122  0.12257702 ...  0.09866283 -0.05060067
   0.0313365 ]]","Herbert Harry ""Jim"" Handby OBE (1 September 1903 – 2 October 1991) was an Australian rules footballer who played in the South Australian National Football League (SANFL) in the 1920s and 1930s, achieving several honours in recognition of his playing skills.","Herbert Harry ""Jim"" Handby OBE (1 September 1903 – 2 October 1991) was an Australian rules footballer who played in the South Australian National Football League (SANFL) in the 1920s and 1930s, achieving several honours in recognition of his playing skills."
338,Name an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908?,"Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan.","[[-0.02874381  0.10041208  0.18602875 ...  0.00889498  0.06462471
   0.09881026]]","Frederick Charles Monger (25 January 1863 – 15 November 1919) was an Australian businessman and politician who was a member of the Legislative Assembly of Western Australia from 1892 to 1903 and again from 1905 to 1914, representing the seat of York.",Answer not found!
339,"Name an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament?","Raymond John Groom  (born 3 September 1944) is an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament 1975–84 and the Tasmanian Parliament 1986–2001.","[[-0.00021619  0.10807971  0.14726073 ... -0.00694552  0.04085372
   0.11110784]]","Raymond John Groom  (born 3 September 1944) is an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament 1975–84 and the Tasmanian Parliament 1986–2001.",Raymond John Groom  
340,Name a former professional tennis player who was a grass court specialist?,"Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist.","[[ 0.01666664  0.11606012  0.02994054 ...  0.07299473 -0.02444231
   0.11346698]]","Anthony E. Gonzalez (born September 18, 1984) is an American politician and former professional football player.",Answer not found!
341,When was John Hogan 'Jack' Gervasoni born?,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).,"[[-0.01890067  0.04943122  0.06319722 ...  0.00794535  0.00260259
   0.03139439]]",James Pat McDaid (born 1980s) is an Irish sportsman and politician.,Answer not found!
342,"When did Albert ""Jupp"" Gardiner die?","Albert ""Jupp"" Gardiner (30 July 1867 – 14 August 1952) was an Australian politician who served as a Senator for New South Wales from 1910 to 1926 and again briefly in 1928.","[[ 0.00905622  0.04943122 -0.0585033  ... -0.01001813 -0.02149788
  -0.03446602]]","Charles Smith (""C.S."")",Answer not found!
343,Who is John William 'Jack' Galbally?,"John William 'Jack' Galbally, , (2 August 1910 – 8 July 1990) was a Labor Party politician.","[[-0.02042911  0.11787542  0.09399641 ... -0.01258784 -0.00907228
   0.04005289]]","John William 'Jack' Galbally, , (2 August 1910 – 8 July 1990) was a Labor Party politician.","John William 'Jack' Galbally, , (2 August 1910 – 8 July 1990) was a Labor Party politician."
344,Name an Australian freestyle champion swimmer and former politician?,"Dawn Fraser,  (born 4 September 1937) is an Australian freestyle champion swimmer and former politician.","[[ 2.71060620e-03  9.79101285e-02  1.11877576e-01 ... -1.25878593e-02
   8.30315985e-05  8.52901265e-02]]","Dawn Fraser,  (born 4 September 1937) is an Australian freestyle champion swimmer and former politician.",Dawn Fraser
345,"Name a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman?","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh.",[[0.01666664 0.14569789 0.08515787 ... 0.077288   0.03709881 0.09247188]],"Sir John Joseph Caldwell Abbott,  (March 12, 1821 – October 30, 1893) was a Canadian lawyer and politician, Freemason, who served as the third prime minister of Canada (and its first native-born one – both Macdonald and Mackenzie having been born in Scotland), in office from 1891 to 1892.",Answer not found!
346,"Name an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq?","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","[[-0.02274804  0.04943122  0.15030564 ...  0.0597619   0.02936054
   0.06259353]]","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","Thomas William ""Tom"" Fox "
347,"When was Patrick Francis Daniel Farmer, an ultra-marathon athlete, motivational speaker, and former Australian politician born?","Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.","[[-0.01890067  0.1497883   0.19623412 ...  0.00422896  0.07785053
   0.10754059]]","Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.",14 March 1962
348,"Name a Norfolk Island businessman, actor and local government politician?","Hadyn Paul ""Teddy"" Evans (born 15 October 1962) is a Norfolk Island businessman, actor and local government politician.",[[0.01666664 0.08630405 0.06145855 ... 0.05135546 0.15458618 0.10506152]],"Hadyn Paul ""Teddy"" Evans (born 15 October 1962) is a Norfolk Island businessman, actor and local government politician.","Hadyn Paul ""Teddy"" Evans "
349,Who is Alistair Martin Edwards?,Alistair Martin Edwards (born 21 June 1968) is a former football (soccer) player and coach.,"[[-0.02042911  0.04943122  0.10457845 ...  0.0226535  -0.03679318
   0.03187822]]",David Henry Barnett was an American CIA officer.,Answer not found!
350,When was cricketer Charles John Eady born?,Charles John Eady (29 October 1870 – 20 December 1945) was a cricketer who played for Tasmanian clubs and representative sides in the era before Tasmania was accepted into the Sheffield Shield and other competitions.,"[[-0.01890067  0.04943122 -0.09379102 ... -0.00388951  0.06416713
   0.00658635]]",Clive Doucet (born 1946) is a Canadian writer and politician.,Answer not found!
351,Who is Henry Rowland Gascoigne Dumaresq?,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,"[[-0.02042911  0.17998198  0.15068898 ...  0.01291655  0.03439048
  -0.00468811]]",Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.
352,Name an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives?,Damian Kevin Drum (born 28 July 1960) is an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives since the 2016 federal election as a member of The Nationals.,"[[-0.02874381  0.04943122  0.19254473 ...  0.07244758  0.02808926
   0.06608041]]",Damian Kevin Drum (born 28 July 1960) is an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives since the 2016 federal election as a member of The Nationals.,Damian Kevin Drum 
353,Name an Australian rules footballer and coach in the West Australian Football League (WAFL)?,"John ""Jerry"" Dolan (25 December 1901 – 26 December 1986) was an Australian rules footballer and coach in the West Australian Football League (WAFL) before becoming a politician.","[[-0.01431891  0.12696776  0.15617172 ...  0.01714197  0.04857774
   0.06437063]]","John ""Jerry"" Dolan (25 December 1901 – 26 December 1986) was an Australian rules footballer and coach in the West Australian Football League (WAFL) before becoming a politician.","John ""Jerry"" Dolan "
354,Who is Richard Luigi Di Natale?,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,[[0.00402646 0.04943122 0.04838946 ... 0.06234654 0.12557161 0.06011347]],Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.
355,"When was Hugh Francis Delahunty, an Australian politician born?",Hugh Francis Delahunty (born 28 June 1949) is an Australian politician.,"[[-0.01890067  0.10251463  0.13591726 ...  0.00222983  0.04590655
   0.07581758]]",Hugh Francis Delahunty (born 28 June 1949) is an Australian politician.,28 June 1949
356,"Who is Ronald William ""Ron"" Clarke?","Ronald William ""Ron"" Clarke, AO, MBE (21 February 1937 – 17 June 2015) was an Australian athlete, writer, and Mayor of the Gold Coast from 2004 to 2012.","[[-0.02042911  0.04943122 -0.0038164  ...  0.07203793 -0.02147617
   0.02864793]]","Charles Smith (""C.S."")",Answer not found!
357,Name an Australian politician who was the inaugural leader of the Australian Democrats?,"Donald Leslie Chipp, AO (21 August 1925 – 28 August 2006) was an Australian politician who was the inaugural leader of the Australian Democrats, leading the party from 1977 to 1986.","[[-0.02874381  0.04943122  0.19752696 ...  0.02661469  0.01375789
   0.10680438]]","Daniel Cornelius van Holst Pellekaan is an Australian politician, representing the South Australian House of Assembly seat of Stuart for the South Australian Division of the Liberal Party of Australia since the 2010 state election.",Answer not found!
358,Name an Australian former professional boxer and former member of the New South Wales Legislative Assembly?,Stephen Rhett Cansdell (born 23 September 1950 in Dubbo) is an Australian former professional boxer and former member of the New South Wales Legislative Assembly.,"[[-0.00051785  0.1386799   0.18581565 ...  0.02396684  0.07905968
   0.09372003]]",Stephen Rhett Cansdell (born 23 September 1950 in Dubbo) is an Australian former professional boxer and former member of the New South Wales Legislative Assembly.,Stephen Rhett Cansdell 
359,Name an Australian politician; a five-time national champion and Australian representative rower?,Shane Thomas Broad (born 21 August 1974) is an Australian politician; a five-time national champion and Australian representative rower; and an agricultural scientist.,"[[-0.02843269  0.12481356  0.11187758 ... -0.01258784 -0.01859684
   0.06434104]]",Shane Thomas Broad (born 21 August 1974) is an Australian politician; a five-time national champion and Australian representative rower; and an agricultural scientist.,Shane Thomas Broad 
360,Who is Cory Bernardi?,Cory Bernardi (born 6 November 1969) is a former Australian politician.,"[[-0.02042911  0.04943122 -0.01931704 ... -0.01258786 -0.02079479
   0.00392082]]",Hon.,Answer not found!
361,When was Anthony John Benneworth born?,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,"[[-0.01890067  0.04943122 -0.11063652 ...  0.02526842  0.02150644
   0.03944852]]","Charles Smith (""C.S."")",Answer not found!
362,"Who is Sir Francis ""Frank"" Joseph Edmund Beaurepaire?","Sir Francis ""Frank"" Joseph Edmund Beaurepaire (13 May 1891 – 29 May 1956) was an Australian distance freestyle swimmer from the 1900s to the 1920s, who won three silver and three bronze medals, from the 1908 Summer Olympics in London to the 1924 Summer Olympics in Paris, setting 15 world records.","[[-0.02042911  0.13940796  0.01866829 ...  0.04499303  0.07397164
   0.02819868]]","Lord John Philip Sackville (22 June 1713 – 3 December 1765) was the second son of Lionel Sackville, 1st Duke of Dorset.",Answer not found!
363,When did Sir Henry Newman Barwell KCMG die?,Sir Henry Newman Barwell KCMG (26 February 1877 – 30 September 1959) was the 28th Premier of South Australia.,"[[ 0.0150003   0.09128468  0.04671783 ... -0.01157614  0.10438088
   0.00951966]]",Sir Henry Newman Barwell KCMG (26 February 1877 – 30 September 1959) was the 28th Premier of South Australia.,30 September 1959
364,Name an Australian politician who served in both houses of the Parliament of Western Australia? ,Edward Houghton Angelo (29 July 1870 – 1 October 1948) was an Australian politician who served in both houses of the Parliament of Western Australia.,"[[-0.02874381  0.1266795   0.17697485 ...  0.03162077  0.03177169
   0.08552875]]",Edward Houghton Angelo (29 July 1870 – 1 October 1948) was an Australian politician who served in both houses of the Parliament of Western Australia.,Edward Houghton Angelo 
365,"Name Canada's first chess grandmaster, an eight-time Canadian Chess Champion?","Daniel Abraham Yanofsky,  (March 25, 1925 – March 5, 2000) was Canada's first chess grandmaster, an eight-time Canadian Chess Champion, a chess writer, chess arbiter, and lawyer.","[[ 0.07537901  0.10272828  0.13037392 ... -0.01258784  0.1485972
   0.1098436 ]]","Daniel Abraham Yanofsky,  (March 25, 1925 – March 5, 2000) was Canada's first chess grandmaster, an eight-time Canadian Chess Champion, a chess writer, chess arbiter, and lawyer.",Daniel Abraham Yanofsky
366,Who is Peter Wong Tung-shun?,"Peter Wong Tung-shun, JP (Chinese: 王冬勝 born 1951, Hong Kong) is a Group General Manager of HSBC, serving as Deputy Chairman and Chief Executive of The Hongkong and Shanghai Banking Corporation Limited, Asia-Pacific.","[[-0.01565339  0.04943122 -0.003913   ...  0.01018285 -0.03755698
   0.10141829]]",Hon.,Answer not found!
367,Name a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly?,Andrew John Weaver  is a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly.,[[0.04194167 0.04943122 0.16623515 ... 0.08515012 0.08008186 0.09107589]],Andrew John Weaver  is a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly.,Andrew John Weaver  is a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly.
368,"When was Nicholas Joseph Vinnicombe, a merchant and politician in Newfoundland born?","Nicholas Joseph Vinnicombe (January 14, 1877 – April 10, 1928) was a merchant and politician in Newfoundland.","[[-0.01890067  0.08544773  0.00198992 ...  0.04137137  0.0941039
   0.08784008]]","Nicholas Joseph Vinnicombe (January 14, 1877 – April 10, 1928) was a merchant and politician in Newfoundland.","14, 1877 –"
369,Who is Cory E. Vanthuyne?,"Cory E. Vanthuyne is a Canadian politician, who was elected to the Legislative Assembly of the Northwest Territories in the 2015 election.","[[-0.02042911  0.04943122 -0.05783832 ... -0.01258786  0.01112253
  -0.0030812 ]]",Thos.,Answer not found!
370,When was John Napier Wyndham Turner born?,"John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.","[[-0.01890067  0.04943122  0.03736107 ...  0.00472611  0.13576178
   0.02925592]]",David Ian Calder (born 1 August 1946) is an English actor.,Answer not found!
